latitude,longitude,scan,track,confidence,frp,daynight,Class,source
60.6619,-112.04577,0.43,0.38,66,2.39,1,0,0
58.52021,-118.13142,0.4,0.37,66,2.39,0,1,0
59.37779,-123.14075,0.39,0.37,100,24.61,0,1,0
58.7542,-120.1774,2.3,1.5,98,46.6,0,0,1
58.36386,-119.79508,0.43,0.46,66,3.2,0,0,0
58.78661,-120.89146,0.48,0.48,66,1.66,0,0,0
59.7822,-115.328,3.3,1.7,100,839.0,0,0,1
61.21,-111.9654,1.9,1.4,23,18.0,1,1,1
60.47663,-116.70814,0.55,0.42,66,2.2,0,0,0
58.6394,-117.9779,2.5,1.5,100,131.4,0,0,1
58.6625,-120.4977,1.8,1.3,100,216.7,0,1,1
58.29949,-119.40765,0.39,0.36,66,6.21,0,1,0
58.9986,-120.6684,1.9,1.4,100,146.4,0,1,1
58.7575,-120.9899,1.9,1.3,71,43.2,0,0,1
59.55398,-121.87685,0.42,0.45,66,2.07,0,0,0
61.1221,-121.0642,2.0,1.4,100,74.4,0,0,1
56.5048,-103.31454,0.39,0.36,66,5.26,1,0,0
58.24321,-120.33129,0.39,0.36,66,4.12,0,1,0
54.5715,-123.5971,4.6,2.0,100,1013.9,0,0,1
58.54513,-121.71072,0.51,0.49,66,4.48,0,0,0
60.25724,-115.93259,0.45,0.63,66,1.7,0,1,0
58.32444,-119.66216,0.43,0.46,66,1.88,0,0,0
58.5592,-120.74392,0.49,0.49,66,2.41,0,0,0
58.8266,-118.0515,2.1,1.4,100,78.3,0,0,1
58.13131,-119.73695,0.55,0.51,66,25.16,0,0,0
58.195,-119.7169,2.3,1.5,100,140.2,0,1,1
60.13304,-112.25534,0.32,0.55,66,6.3,1,1,0
58.6949,-117.9627,2.2,1.4,55,34.3,0,0,1
58.46631,-118.40313,0.55,0.68,66,5.83,0,1,0
58.6314,-118.2908,2.0,1.4,100,1138.5,0,1,1
59.0325,-120.9301,2.4,1.5,95,110.1,0,0,1
61.1411,-121.0443,2.0,1.4,100,376.6,0,0,1
59.1893,-112.8405,1.7,1.3,83,64.7,1,1,1
58.54807,-118.23663,0.66,0.73,66,4.74,0,1,0
58.407,-119.7608,1.9,1.3,43,51.9,0,1,1
59.57,-114.4832,1.6,1.2,100,88.0,0,1,1
61.1304,-121.0323,2.0,1.4,100,158.1,0,0,1
58.67,-118.1952,2.1,1.4,100,61.2,0,1,1
61.0194,-112.3599,1.4,1.2,100,105.3,0,1,1
59.31262,-122.99006,0.4,0.44,66,1.56,0,0,0
58.47677,-118.0324,0.41,0.37,100,22.3,0,1,0
57.73389,-120.9011,0.39,0.36,66,1.36,0,1,0
59.47328,-113.94986,0.47,0.4,66,1.73,0,1,0
58.7777,-120.61626,0.47,0.47,100,12.22,0,0,0
58.4743,-121.6478,1.6,1.3,89,44.9,0,1,1
58.58909,-118.1392,0.57,0.43,66,4.31,0,0,0
58.41032,-118.31061,0.39,0.44,66,1.21,0,0,0
57.56179,-120.4635,0.54,0.51,66,4.52,0,0,0
57.5401,-120.3832,2.6,1.5,95,63.8,0,1,1
