latitude,longitude,bright_ti4,scan,track,acq_time,satellite,confidence,bright_ti5,frp,daynight,Class
58.82589,-118.07101,333.23,0.58,0.52,1118,0,1,282.08,6.09,0,0
59.01068,-112.93179,301.33,0.42,0.38,938,0,1,286.05,0.74,0,0
58.83196,-118.13033,327.07,0.38,0.44,938,0,1,282.36,4.36,0,0
58.81238,-118.02739,311.24,0.58,0.52,1118,0,1,285.44,2.19,0,0
58.83004,-118.06622,317.77,0.58,0.52,1118,0,1,282.07,6.09,0,0
58.57251,-119.55451,322.44,0.43,0.46,938,0,1,290.28,3.61,0,0
58.63303,-120.5024,299.4,0.5,0.49,1118,0,1,279.9,1.55,0,0
59.30136,-123.12555,316.91,0.39,0.44,1118,0,1,279.04,2.48,0,0
59.75784,-111.76427,337.26,0.41,0.6,1117,0,1,292.37,3.01,0,0
58.66628,-120.1162,311.31,0.45,0.47,938,0,1,285.02,3.91,0,0
58.14355,-118.6251,367.0,0.39,0.44,938,0,2,294.45,8.41,0,0
58.56314,-120.73978,299.53,0.49,0.49,1118,0,1,282.86,2.1,0,0
58.13601,-118.60671,312.62,0.59,0.53,1118,0,1,288.76,4.1,0,0
57.57951,-121.64085,313.85,0.49,0.49,938,0,1,286.43,2.43,0,0
58.83956,-118.07318,305.32,0.38,0.43,938,0,1,285.43,1.11,0,0
60.01685,-110.98465,300.81,0.4,0.37,937,0,1,286.69,0.76,0,0
58.71016,-120.4733,299.91,0.49,0.49,1118,0,1,280.9,1.37,0,0
57.07951,-100.25812,338.25,0.38,0.43,937,0,1,285.04,5.03,0,0
58.71672,-120.48792,300.14,0.46,0.47,938,0,1,282.6,1.63,0,0
58.79317,-118.00198,296.53,0.58,0.52,1118,0,1,286.52,1.67,0,0
58.69449,-120.48522,303.23,0.46,0.47,938,0,1,282.72,2.35,0,0
60.45835,-112.0999,333.95,0.42,0.38,937,0,1,291.91,1.51,0,0
58.75034,-120.1782,299.96,0.45,0.47,938,0,1,282.08,2.24,0,0
58.84391,-118.1266,304.09,0.38,0.44,938,0,1,281.46,1.66,0,0
58.88994,-120.44797,302.17,0.49,0.48,1118,0,1,283.47,0.91,0,0
59.76049,-111.76685,367.0,0.43,0.62,2111,0,2,299.24,23.15,1,0
59.77314,-113.65168,301.63,0.45,0.39,937,0,1,286.8,0.81,0,0
58.83274,-118.07497,319.81,0.58,0.52,1118,0,1,283.96,6.09,0,0
58.55555,-120.73526,306.93,0.47,0.48,938,0,1,279.79,6.24,0,0
58.139,-118.61976,340.86,0.39,0.44,938,0,1,288.67,8.41,0,0
59.94894,-117.26772,298.22,0.56,0.51,1118,0,1,283.13,2.85,0,0
58.56486,-120.75175,300.2,0.47,0.48,938,0,1,268.67,3.76,0,0
58.78801,-118.00515,305.82,0.57,0.43,938,0,1,287.73,2.33,0,0
57.75634,-120.8324,345.24,0.46,0.47,938,0,1,291.56,5.26,0,0
57.64333,-120.50983,298.22,0.54,0.51,1119,0,1,283.91,8.39,0,0
55.44292,-123.5834,313.49,0.56,0.51,939,0,1,281.47,4.19,0,0
58.83127,-118.08841,334.46,0.58,0.52,1118,0,1,285.76,3.78,0,0
58.84174,-118.09987,312.91,0.38,0.43,938,0,1,280.24,2.4,0,0
57.08732,-100.27918,311.39,0.34,0.56,757,0,1,284.45,2.83,0,0
58.83015,-120.46439,304.74,0.46,0.47,938,0,1,278.33,2.51,0,0
58.75676,-120.9157,309.1,0.48,0.48,938,0,1,282.31,3.47,0,0
60.5911,-116.92921,300.43,0.56,0.43,937,0,1,280.65,1.19,0,0
57.09745,-100.25026,296.15,0.38,0.43,937,0,1,284.09,4.4,0,0
58.826,-118.0569,316.51,0.38,0.43,938,0,1,284.18,2.08,0,0
58.61913,-119.22597,304.15,0.54,0.51,1118,0,1,286.54,3.74,0,0
59.75088,-112.51604,296.12,0.39,0.59,1117,0,1,284.3,0.98,0,0
58.74627,-119.72613,298.81,0.43,0.46,938,0,1,287.12,1.3,0,0
54.78751,-123.75262,298.34,0.52,0.5,1119,0,1,273.75,0.77,0,0
57.07784,-100.25998,352.56,0.45,0.63,1749,0,1,296.27,11.53,1,0
59.95578,-117.27182,328.38,0.56,0.51,1118,0,1,285.97,3.59,0,0
58.53386,-120.81429,322.02,0.47,0.48,938,0,1,281.07,5.65,0,0
58.67381,-120.47212,299.39,0.5,0.49,1118,0,1,281.63,1.27,0,0
59.08297,-120.33806,307.93,0.46,0.47,938,0,1,279.88,4.01,0,0
59.76938,-113.64848,339.12,0.37,0.58,2111,0,1,294.6,4.27,1,0
58.79098,-120.00182,301.06,0.44,0.46,938,0,1,283.36,1.17,0,0
58.81712,-120.46765,306.17,0.46,0.47,938,0,1,278.56,3.19,0,0
59.16151,-120.38489,315.8,0.46,0.47,938,0,1,275.66,2.98,0,0
58.82238,-118.16885,309.07,0.58,0.52,1118,0,1,286.72,1.61,0,0
57.09098,-100.24664,367.0,0.45,0.63,1749,0,2,307.96,16.16,1,0
58.81927,-118.03138,301.85,0.58,0.52,1118,0,1,282.12,2.78,0,0
58.63885,-120.48656,300.99,0.5,0.49,1118,0,1,277.37,1.67,0,0
57.25672,-120.70052,302.87,0.55,0.51,1119,0,1,275.78,1.89,0,0
54.5813,-118.1947,296.16,0.42,0.61,1119,0,1,280.6,0.71,0,0
59.01253,-120.55035,298.69,0.47,0.47,938,0,1,271.88,1.27,0,0
58.67201,-120.48383,313.61,0.49,0.49,1118,0,1,281.21,2.93,0,0
59.7509,-112.51809,336.3,0.4,0.6,2111,0,1,294.07,4.39,1,0
57.09237,-100.25425,367.0,0.43,0.38,1929,0,2,325.89,124.27,1,0
59.75468,-111.76246,354.84,0.44,0.38,1930,0,1,309.11,20.1,1,0
58.845,-118.13998,301.91,0.39,0.44,938,0,1,282.81,1.11,0,0
58.86213,-120.4808,305.05,0.46,0.47,938,0,1,277.31,2.63,0,0
59.76875,-113.64541,302.79,0.45,0.39,937,0,1,286.52,1.03,0,0
57.75585,-120.82471,300.39,0.46,0.47,938,0,1,284.67,5.26,0,0
